first_name,last_name,company,linkedin_url
Serge,Saxonov,,https://www.linkedin.com/in/serge-saxonov-7b42572
Michael,Schnall-Levin,,https://www.linkedin.com/in/michael-schnall-levin-b0258239
Ben,Hindson,,https://www.linkedin.com/in/ben-hindson-09739813
Rajiv,Bharadwaj,,https://www.linkedin.com/in/rajiv-bharadwaj-069b853
Bobby,Le Blanc,,https://www.linkedin.com/in/bobby-le-blanc-20673b2b
Cromwell,Coulson,,https://www.linkedin.com/in/cromwellcoulson
Marc,Helwani,,https://www.linkedin.com/in/mhelwani
Jeffrey,Stafford,,https://www.linkedin.com/in/jeffrey-stafford-7b878010
Angie,"Vassar, M.S., PMP",,https://www.linkedin.com/in/angie-vassar-m-s-pmp-3a1b5045
Nam,Nguyen,,https://www.linkedin.com/in/nam-nguyen-42382332
Ryan,Stansfield,,https://www.linkedin.com/in/ryan-k-stansfield
Bryan,Jones,,https://www.linkedin.com/in/bryan-jones-8627584
Zachary,Hornby,,https://www.linkedin.com/in/zacharyhornby
Brett,Robison,,https://www.linkedin.com/in/brett-robison9
Richard,A. Gonzalez,,https://www.linkedin.com/in/richardgonzalezabbvie
Rob,Michael,,https://www.linkedin.com/in/rob-michael
Mike,Carlin,,https://www.linkedin.com/in/mike-carlin-cio
John,Hassman,,https://www.linkedin.com/in/johnhassman
Suresh,Pattathil,,https://in.linkedin.com/in/suresh-pattathil-52390714
Douglas,J. Jolly,,https://www.linkedin.com/in/douglas-j-jolly-b72a174
Albert,Bourla,,https://www.linkedin.com/in/albert-bourla
Alise,"Reicin, MD",,https://www.linkedin.com/in/alise-reicin
Steve,Davis,,https://www.linkedin.com/in/steve-davis-74b86910
Catherine,Owen Adams,,https://www.linkedin.com/in/catherineowen
Nick,C.,,https://www.linkedin.com/in/nickcondos
Tom,Garner,,https://www.linkedin.com/in/tagarner
Jeff,Walker,,https://www.linkedin.com/in/jeff-walker-24b6b55
Kevin,Syverson,,https://www.linkedin.com/in/kevin-syverson-6238421b
Vince,Angotti,,https://www.linkedin.com/in/vince-angotti-72424897
Mina,Kim,,https://www.linkedin.com/in/mina-kim-346208a
Patricia,Turney,,https://www.linkedin.com/in/patriciaturney
Lynn,Tetrault,,https://www.linkedin.com/in/lynn-tetrault-48099110
